AccID	138011N	138011T	138228N	138228T	138239N	138239T
SNORD121B	0	0	0	0	0	0
HTR4	0	2	0	1	0	2
SNORD121A	0	0	0	0	0	0
HTR6	0	0	0	0	0	0
HTR7	6	0	3	1	0	0
RNU6-654P	0	0	0	0	0	0
RN7SL563P	0	0	0	0	0	0
EXOC3-AS1	0	0	0	0	0	0
DHDH	0	0	0	0	2	1
RNU6-653P	0	0	0	0	0	0
COL13A1	2	0	4	22	3	45
LOC105376404	0	0	0	0	0	0
LOC105376405	0	0	0	0	0	0
LOC105376400	0	0	0	0	0	0
HCGVIII-2	0	0	0	0	0	0
T	0	0	0	0	0	0
LOC105376402	0	3	0	0	0	0
ISX-AS1	0	1	0	0	0	0
LOC105376403	0	0	0	0	0	0
RNU6-656P	0	0	0	0	0	0
RN7SL561P	0	0	0	0	0	0
LOC100335030	0	0	0	0	0	0
DHFR	21	8	9	10	8	4
RNU6-655P	0	0	0	0	0	0
TRX-CAT2-1	0	0	0	0	0	0
RNU6-650P	0	0	0	0	0	0
MYBPC3	1	1	0	7	0	7
MYBPC1	1	1	0	0	0	0
MYBPC2	0	0	0	6	1	2
TMEFF1	2	5	0	36	2	3
TMEFF2	0	0	0	0	0	0
TRDD2	0	0	0	0	0	0
TRDD3	0	0	0	0	0	0
TRDD1	0	0	0	0	0	0
RPS7P11	0	0	0	0	0	1
RPS7P12	0	0	0	0	0	0
RPS7P10	0	0	0	0	0	0
BORCS7-ASMT	93	285	165	73	187	47
TRV-TAC2-1	0	0	0	0	0	0
RPS7P15	0	0	0	0	0	0
RPS7P13	0	0	0	0	0	0
RPS7P14	0	0	0	0	0	0
RNU6-652P	0	0	0	0	0	0
MBD3	165	211	173	349	163	426
MBD4	169	178	177	236	228	157
MBD5	97	49	54	114	50	19
MBD6	121	156	148	377	159	560
MBD1	228	203	202	529	225	1116
MBD2	200	164	236	425	300	173
RNU6-651P	0	0	0	0	0	0
FBXO27	9	23	9	30	5	55
FBXO28	74	106	83	110	79	113
FBXO25	199	165	171	86	170	72
FBXO24	3	13	5	3	1	8
MCHR2-AS1	0	0	0	0	0	0
FBXO21	255	210	156	312	245	118
FBXO22	98	120	110	124	137	170
MYBPHL	0	0	0	3	0	0
FBXO18	362	489	433	675	338	570
FBXO16	13	6	6	21	14	1
FBXO17	0	0	2	24	10	67
FBXO15	8	1	0	7	4	0
FBXO10	33	46	36	59	32	25
FBXO11	621	877	611	863	1011	269
MINPP1	81	78	93	43	112	15
FBXO47	0	0	0	0	0	0
FBXO48	13	7	10	11	14	6
FBXO45	7	18	9	47	7	27
FBXO46	5	4	3	8	3	78
FBXO43	0	1	2	24	0	0
FBXO44	36	60	25	31	21	102
FBXO41	5	7	9	43	3	199
FBXO42	69	59	86	177	78	121
GRAMD4P3	0	0	0	0	0	0
GRAMD4P4	0	0	0	0	0	0
FBXO40	0	0	0	1	0	0
GRAMD4P1	0	0	0	0	0	0
GRAMD4P2	0	0	0	0	0	0
GRAMD4P7	0	0	0	0	0	0
GRAMD4P8	0	0	0	0	0	0
GRAMD4P5	0	0	0	0	0	0
GRAMD4P6	0	0	0	0	0	0
MBIP	104	121	75	157	140	103
HTR1E	0	0	0	0	0	0
HTR1F	0	0	0	0	0	0
FBXO38	425	556	381	308	440	311
OR3A5P	0	0	0	0	0	0
HTR1D	0	0	0	0	0	0
FBXO39	0	9	1	1	1	0
HTR1A	0	0	0	0	0	0
FBXO36	4	10	1	21	3	0
HTR1B	0	0	0	0	0	0
FBXO34	1	2	0	4	2	7
FBXO32	36	11	19	95	42	198
FBXO33	17	21	19	17	26	21
FBXO30	18	34	14	38	29	49
FAM90A1	0	0	0	8	0	0
FBXO31	127	102	140	65	110	504
AGAP1-IT1	0	0	0	0	0	0
HTR2B	14	3	4	0	5	2
