#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0000278	Mitotic cell cycle	13	631	1.29	2.11	9.32e-11	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000335357,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000428489	CCNB1,MCM4,UBE2S,BUB1B,CCNB2,TPX2,CDKN3,UBE2C,NEK2,TTK,CDC20,ECT2,PBK
GO:0022402	Cell cycle process	14	835	1.2	1.87	9.32e-11	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000335357,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377536,9606.ENSP00000493382	CCNB1,MCM4,UBE2S,BUB1B,CCNB2,TPX2,CDKN3,UBE2C,NEK2,TTK,CDC20,ECT2,PTTG1,PHGDH
GO:0007049	Cell cycle	15	1246	1.05	1.5	2.22e-10	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000335357,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377536,9606.ENSP00000428489,9606.ENSP00000493382	CCNB1,MCM4,UBE2S,BUB1B,CCNB2,TPX2,CDKN3,UBE2C,NEK2,TTK,CDC20,ECT2,PTTG1,PBK,PHGDH
GO:1903047	Mitotic cell cycle process	12	537	1.32	2.16	2.22e-10	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000335357,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457	CCNB1,MCM4,UBE2S,BUB1B,CCNB2,TPX2,CDKN3,UBE2C,NEK2,TTK,CDC20,ECT2
GO:0000280	Nuclear division	10	323	1.46	2.39	1.55e-09	9606.ENSP00000256442,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377536	CCNB1,UBE2S,BUB1B,CCNB2,TPX2,UBE2C,NEK2,TTK,CDC20,PTTG1
GO:0051726	Regulation of cell cycle	13	1108	1.04	1.36	1.80e-08	9606.ENSP00000256442,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000335357,9606.ENSP00000348838,9606.ENSP00000353770,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377536,9606.ENSP00000428489	CCNB1,BUB1B,CCNB2,TPX2,CDKN3,UBE2C,RRM2,NEK2,TTK,CDC20,ECT2,PTTG1,PBK
GO:0010564	Regulation of cell cycle process	11	716	1.16	1.53	7.83e-08	9606.ENSP00000256442,9606.ENSP00000287598,9606.ENSP00000300403,9606.ENSP00000348838,9606.ENSP00000353770,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377536,9606.ENSP00000428489	CCNB1,BUB1B,TPX2,UBE2C,RRM2,NEK2,TTK,CDC20,ECT2,PTTG1,PBK
GO:0051301	Cell division	10	527	1.25	1.69	9.69e-08	9606.ENSP00000256442,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377536	CCNB1,UBE2S,BUB1B,CCNB2,TPX2,UBE2C,NEK2,CDC20,ECT2,PTTG1
GO:0051246	Regulation of protein metabolic process	16	2622	0.76	0.84	1.65e-07	9606.ENSP00000256442,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377192,9606.ENSP00000377536,9606.ENSP00000428489	CCNB1,UBE2S,SAE1,BUB1B,CCNB2,TPX2,PKM,CDKN3,ANXA2,UBE2C,TTK,CDC20,ECT2,G6PD,PTTG1,PBK
GO:0031399	Regulation of protein modification process	13	1560	0.89	1.01	7.97e-07	9606.ENSP00000256442,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000335357,9606.ENSP00000348838,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377192,9606.ENSP00000428489	CCNB1,UBE2S,SAE1,BUB1B,CCNB2,TPX2,CDKN3,UBE2C,TTK,CDC20,ECT2,G6PD,PBK
