,,,Potential Biomarker Genes
Rank,Transcription Factor (TF),Mean Rank,Overlapping Genes
1,FOXM1,2.667,"RRM2, ANXA2, UBE2C, BUB1B, TTK, CDC20,  CCNB2, TPX2, CCNB1, PKM, PTTG1, UBE2S, PBK, MCM4, NEK2, PHGDH, ECT2, KPNA2, SAE1, CDKN3"
2,CENPA,5,"RRM2, UBE2C, BUB1B, TTK, CDC20, CCNB2, TPX2, CCNB1, PTTG1, UBE2S, PBK, MCM4, NEK2, ECT2, KPNA2, SAE1, CDKN3"
3,MYBL2,9,"RRM2, ANXA2, UBE2C, BUB1B, TTK, CDC20, CCNB2, TPX2, CCNB1, PKM, PTTG1, UBE2S, PBK, MCM4, NEK2, PHGDH, KPNA2, ECT2, SAE1, CDKN3"
4,TFDP1,17.5,"RRM2, ANXA2, UBE2C, BUB1B, TTK, CDC20, CCNB2, TPX2, CCNB1, PKM, PTTG1, UBE2S, PBK, MCM4, NEK2, PHGDH, ECT2, SAE1, KPNA2, CDKN3"
5,DNMT1,17.5,"RRM2, UBE2C, BUB1B, TTK, CDC20, CCNB2, TPX2, CCNB1, PTTG1, UBE2S, PBK, MCM4, NEK2, ECT2, KPNA2, SAE1, CDKN3"
6,HMGA1,20.33,"RRM2, ANXA2, UBE2C, BUB1B, TTK, CDC20, CCNB2, TPX2, CCNB1, PKM, PTTG1, UBE2S, MCM4, PHGDH, ECT2, KPNA2, SAE1"
7,E2F7,20.4,"RRM2, ANXA2, UBE2C, BUB1B, TTK, CDC20, CCNB2, TPX2, CCNB1, PKM, PTTG1, UBE2S, PBK, MCM4, NEK2, ECT2, KPNA2, SAE1, CDKN3"
8,PA2G4,24.5,"CDC20, TPX2, CCNB1, RRM2, UBE2C, UBE2S, MCM4, BUB1B, SAE1"
9,ZNF367,26,"RRM2, UBE2C, BUB1B, TTK, CDC20, CCNB2, TPX2, CCNB1, PTTG1, UBE2S, PBK, MCM4, NEK2, ECT2, KPNA2, CDKN3"
10,E2F1,28.5,"G6PD, RRM2, ANXA2, UBE2C, BUB1B, TTK, CDC20, CCNB2, TPX2, CCNB1, PKM, PTTG1, UBE2S, PBK, MCM4, NEK2, PHGDH, ECT2, KPNA2, SAE1, CDKN3"
