Top 10 in network STRING network ranked by Betweenness method	
Rank,Name,Score	
1,9606.ENSP00000353770,468.4090354090353	RRM2
2,9606.ENSP00000320171,424.2571428571429	CCNB2
3,9606.ENSP00000377192,339.4095238095238	KPNA2
4,9606.ENSP00000493382,321.03015873015886	MT2A
5,9606.ENSP00000438483,314.9031746031746	G6PD
6,9606.ENSP00000355966,313.1052503052503	PHGDH
7,9606.ENSP00000264552,262.40000000000003	NEK2
8,9606.ENSP00000288207,260.4391941391941	PKM
9,9606.ENSP00000346032,188.66666666666666	UBE2S
10,9606.ENSP00000245185,172.0	ANXA2
