Top 10 in network STRING network ranked by DMNC method	
Rank,Name,Score	
1,9606.ENSP00000262105,1.0315305254524156	PBK
1,9606.ENSP00000428489,1.0315305254524156	CCNB2
3,9606.ENSP00000300403,0.9871626488255771	CDKN3
3,9606.ENSP00000287598,0.9871626488255771	PTTG1
5,9606.ENSP00000288207,0.9781884429271628	TACC3
6,9606.ENSP00000335357,0.945935719996529	BUB1B
7,9606.ENSP00000358813,0.9422916193335055	MCM4
8,9606.ENSP00000377536,0.9390632024465342	TPX2
8,9606.ENSP00000256442,0.9390632024465342	TTK
10,9606.ENSP00000326550,0.9213670712778859	CCNB1
