Top 10 in network STRING network ranked by Radiality method	
Rank,Name,Score	
1,9606.ENSP00000438483,3.5714677640603565	RRM2
1,9606.ENSP00000353770,3.5714677640603565	CCNB2
3,9606.ENSP00000361540,3.4831275720164605	KPNA2
4,9606.ENSP00000376457,3.4705075445816185	PTTG1
4,9606.ENSP00000355966,3.4705075445816185	NEK2
6,9606.ENSP00000348838,3.445267489711934	ECT2
7,9606.ENSP00000377536,3.4326474622770915	TPX2
7,9606.ENSP00000256442,3.4326474622770915	UBE2C
9,9606.ENSP00000300403,3.4200274348422495	CDC20
9,9606.ENSP00000288207,3.4200274348422495	CCNB1
