"","x"
"1","MCM4"
"2","C9"
"3","GPM6A"
"4","CDC20"
"5","MSTO1"
"6","CDKN3"
"7","SF3B4"
"8","MT1X"
"9","MT2A"
"10","MT1E"
"11","TACC3"
"12","PODXL"
"13","CDC14B"
"14","ECM1"
"15","ECM2"
"16","ECT2"
"17","SLC17A3"
"18","KPNA2"
"19","CLEC1B"
"20","CRHBP"
"21","NEK2"
"22","RRM2"
"23","ENAH"
"24","SKAP1"
"25","MUC13"
"26","SAE1"
"27","ANK3"
"28","ANXA2"
"29","LYVE1"
"30","ASS1"
"31","PTTG1"
"32","ATF5"
"33","UBE2C"
"34","UBE2S"
"35","FBP1"
"36","CANT1"
"37","PLAC8"
"38","STK39"
"39","SLC6A8"
"40","IRAK1"
"41","STMN1"
"42","TCEAL9"
"43","SLC38A2"
"44","G6PD"
"45","PHGDH"
"46","DNAJC6"
"47","PLVAP"
"48","NR3C2"
"49","PBK"
"50","PKM"
"51","PZP"
"52","TTK"
"53","GBP2"
"54","TUBA1C"
"55","PBLD"
"56","LAPTM4B"
"57","NMRK1"
"58","SPINK1"
"59","TPX2"
"60","CDC37L1"
"61","CAPG"
"62","CD24"
"63","CD5L"
"64","CETP"
"65","CYP2E1"
"66","RNF125"
"67","CYP1A2"
"68","CPEB3"
"69","ALDOB"
"70","S100A10"
"71","IGF2BP3"
"72","BUB1B"
"73","PEA15"
"74","HAMP"
"75","AKR1B10"
"76","CCNB2"
"77","CCNB1"
"78","CD163"
"79","MARCO"
"80","PLSCR4"
"81","ADH1C"
