"","x"
"1","MCAM"
"2","MCM4"
"3","MCM2"
"4","SIPA1L3"
"5","C9"
"6","F8"
"7","COL15A1"
"8","TIMD4"
"9","PAMR1"
"10","ABCA13"
"11","TREM2"
"12","ITLN1"
"13","GPM6A"
"14","RPUSD1"
"15","PALM3"
"16","CDCA3"
"17","CDCA5"
"18","CDCA7"
"19","CORO1B"
"20","CDC45"
"21","CDC20"
"22","TRIB3"
"23","SPOCK1"
"24","TEAD4"
"25","RAB3B"
"26","MSTO1"
"27","DUOX1"
"28","SLC9B2"
"29","SLC9A9"
"30","SEPT5-GP1BB"
"31","MAPK12"
"32","RAD9A"
"33","SEMA4F"
"34","DUSP4"
"35","E2F1"
"36","E2F7"
"37","E2F8"
"38","GAREM2"
"39","WDR72"
"40","WDR62"
"41","MTHFD2L"
"42","GPSM1"
"43","GPSM2"
"44","FHAD1"
"45","CXCL14"
"46","TROAP"
"47","MMAA"
"48","SLC52A2"
"49","CDHR2"
"50","CDK16"
"51","TRNP1"
"52","DAB2IP"
"53","CDKN3"
"54","PTGFRN"
"55","SMARCA4"
"56","LOXL4"
"57","VSIG10"
"58","INS-IGF2"
"59","MPP3"
"60","SEPT5"
"61","IDO2"
"62","IDUA"
"63","COL11A1"
"64","TMEM27"
"65","ST6GAL2"
"66","KIF20A"
"67","MRC1"
"68","SF3B4"
"69","ITGA11"
"70","SRXN1"
"71","IGSF3"
"72","KIF18B"
"73","BMP8B"
"74","LOC105371566"
"75","BMP10"
"76","MT1M"
"77","MT1X"
"78","MT2A"
"79","MT1F"
"80","MT1G"
"81","MT1H"
"82","MT1E"
"83","IGF2"
"84","APOBEC3B"
"85","TACC3"
"86","CDKN2A"
"87","MKI67"
"88","TENM1"
"89","BMPER"
"90","PPP1R13L"
"91","CDR2L"
"92","PKHD1L1"
"93","VIPR1"
"94","PODXL"
"95","IL33"
"96","IL7R"
"97","NDUFA4L2"
"98","CDC14B"
"99","CEP131"
"100","MTFR2"
"101","SPTBN5"
"102","RASEF"
"103","XRCC3"
"104","NOTUM"
"105","INMT"
"106","RN7SL1"
"107","SSC4D"
"108","TEX41"
"109","PKMYT1"
"110","ECM1"
"111","ECM2"
"112","ECT2"
"113","SLC17A3"
"114","VWCE"
"115","FOLH1B"
"116","VWDE"
"117","NAPEPLD"
"118","KPNA2"
"119","CREB3L1"
"120","EDNRB"
"121","TRIP13"
"122","NAAA"
"123","TBC1D16"
"124","EHD4"
"125","ROBO1"
"126","LOC101928858"
"127","NCS1"
"128","RSPO3"
"129","CLEC4M"
"130","CLEC4G"
"131","CLEC1B"
"132","AHNAK2"
"133","BICDL1"
"134","CYP4V2"
"135","CRHBP"
"136","NEK2"
"137","KCNN2"
"138","KLHL8"
"139","MYBL2"
"140","ELF3"
"141","RRM2"
"142","DIAPH3"
"143","NGFR"
"144","AADAT"
"145","FBLIM1"
"146","ENTPD2"
"147","ENTPD6"
"148","ENAH"
"149","TTC39A"
"150","MAPK8IP2"
"151","NCAPG"
"152","NCAPH"
