"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MCAM",404.096541539139,2.43870944599317,0.749302886515885,3.25463773045464,0.00113537092168843,0.0354110899639858
"MCM4",283.611603303299,1.94304656208924,0.526861534359328,3.68796436136112,0.000226055302085951,0.0117599939417242
"MCM2",190.50460214913,2.97066968255629,0.798910102267493,3.71840295187761,0.000200486286587506,0.010707545437121
"SIPA1L3",342.618055734328,2.16698637484949,0.505252597333224,4.28891684335137,1.79546574446774e-05,0.00204564386390349
"C9",7183.04960600882,-5.03688034233151,1.14096032366544,-4.41459728078017,1.01198201583254e-05,0.00127992514406123
"F8",270.433417446803,-3.06429590126415,0.756467454939347,-4.05079674116297,5.10435327968368e-05,0.00411880992191764
"COL15A1",280.4252494383,3.73446122562862,0.99895822046272,3.73835576817097,0.000185227707807844,0.00997480148374583
"TIMD4",93.8011176716626,-6.48515090391843,0.830187568018895,-7.8116694994532,5.64353878255114e-15,8.64464729513888e-12
"PAMR1",50.0237165397687,-2.63827591808312,0.790588520261583,-3.33710375304994,0.000846563393998248,0.0294715226001511
"ABCA13",35.1779407679545,-4.46345518666494,1.40835160273626,-3.16927617932408,0.00152819108136758,0.0431713980486342
"TREM2",28.0661978035193,4.85451510514272,1.47365233284393,3.29420650783637,0.000986999569489678,0.0326301584292199
"ITLN1",12.7205143714377,-5.43614290720966,1.33509021979187,-4.07174198913472,4.66628505026001e-05,0.00385206022172961
"GPM6A",43.796062745052,-3.52966326245634,0.843393470935926,-4.18507302236929,2.85074444591963e-05,0.00268607261211804
"RPUSD1",32.5083000662407,2.60854097318202,0.79856696288861,3.26652753545714,0.00108875219062675,0.0344451373715467
"PALM3",23.4880461623572,-4.52557816751525,0.843379133065579,-5.36600680534428,8.04989055254099e-08,2.5221770717575e-05
"CDCA3",12.3708035078143,4.36786420380414,1.25744798433004,3.47359434206045,0.000513536791984179,0.0208739303810376
"CDCA5",15.7407113854942,4.74997320698679,1.33889053521957,3.54769346861341,0.000388620218590467,0.0174511997833491
