"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ECM1",-2.37787070707071,6.39108764044944,-43.7212969207538,2.23201449731303e-163,2.91032370304646e-159,362.939287125241
"VIPR1",-2.85285686868687,5.69850337078652,-41.6751642311003,6.48409466926537e-156,4.22730551962756e-152,345.850615723793
"CXCL14",-3.45605070707071,5.1390404494382,-41.4064098072674,6.43218154501747e-155,2.79564050551609e-151,343.568227936165
"STAB2",-1.91742585858586,4.88907865168539,-38.0173343392868,5.07231170060737e-142,1.65344680660549e-138,314.017076493011
"FCN3",-3.36119090909091,7.37331235955056,-36.6580588082216,1.12766411257369e-136,2.94072247276968e-133,301.75912426884
"LCAT",-3.01608959595959,6.82184269662921,-35.1465599401714,1.30647780477479e-130,2.83919401607641e-127,287.853690184363
"PTTG1",2.52480929292929,6.58757078651685,33.0753071682902,4.23404307274055e-122,7.88681251792343e-119,268.331337167498
"FCN2",-2.65966191919192,4.83681348314607,-32.7176910312832,1.31658544653526e-120,2.14586970467165e-117,264.906609902963
"CLEC1B",-2.25173292929293,5.24846516853933,-32.7010617846774,1.54534190690399e-120,2.23885701379124e-117,264.746976283639
"PTH1R",-1.70952484848485,4.59305168539326,-32.5776085907949,5.08159881390411e-120,6.62589669344957e-117,263.56081790917
"ESR1",-2.81381565656565,5.88858876404494,-32.5251081727997,8.43521594156903e-120,9.99879824201078e-117,263.055819405714
"CYP1A2",-5.19371464646465,9.23812359550562,-32.0070540428407,1.27550134566832e-117,1.38593850384743e-114,258.054661805304
"NAT2",-3.81176616161616,7.1069797752809,-31.8381273140389,6.59827372499143e-117,6.61806854616641e-114,256.416848630499
"CCT3",1.56962131313131,8.81046966292135,31.4081296934358,4.39467535104831e-115,4.09301227873706e-112,252.232363937459
"ASPM",3.03965747474748,5.2817191011236,31.365776223522,6.65351286903852e-115,5.78367695329288e-112,251.819008744809
"KPNA2",2.32516616161616,7.47156853932584,31.3161060738403,1.08245372559331e-114,8.82132133000701e-112,251.333973330468
"RACGAP1",2.2191295959596,5.2482,30.5414323582706,2.2236218159948e-111,1.70551793286801e-108,243.731520455004
"APOF",-3.53836838383838,7.26071460674157,-30.4342653203937,6.422518827846e-111,4.65240127757133e-108,242.674292655042
"FOS",-3.74073202020202,7.7135595505618,-30.3078664741201,2.24775824197927e-110,1.54255366932462e-107,241.425635364572
"CCNB1",2.52714818181818,4.90570337078652,29.9936483878299,5.10060663932204e-109,3.32534049850601e-106,238.313635569241
"PRC1",2.45698888888889,5.00819775280899,29.9230098532881,1.03062018878589e-108,6.39916982932343e-106,237.612488553663
"RRM2",3.10640363636364,5.45668988764045,29.791994587832,3.80468199762394e-108,2.25496584395539e-105,236.310559494614
"LPA",-2.73284414141414,5.98121123595506,-29.7318064272455,6.93708748637143e-108,3.93272537977379e-105,235.711808357799
"SNRPE",1.56629060606061,9.44006741573034,29.5021451013378,6.88884793729402e-107,3.7426536772657e-104,233.423419052322
"CYP39A1",-3.42793373737374,6.34739325842697,-29.406111266904,1.80211665815236e-106,9.39911964225947e-104,232.464781812243
"SRD5A2",-2.5976697979798,5.91571235955056,-29.0412304521319,7.02388226384573e-105,3.52247695531863e-102,228.813199757679
"HAMP",-5.44558383838384,9.00528764044944,-28.8388971514401,5.38753509695711e-104,2.60178037515644e-101,226.782098493338
"NUSAP1",2.43959737373737,6.21022247191011,28.7011615564269,2.16170708631064e-103,1.00666066780016e-100,225.396945035405
"EGR1",-2.7635205050505,6.84413707865169,-28.5946143603476,6.34112736610497e-103,2.85110205953941e-100,224.32405905783
"MT1F",-3.98175434343434,9.27629887640449,-28.5404927284268,1.09589572488047e-102,4.7631281189055e-100,223.778617760845
"KDM8",-1.84507060606061,5.41767640449438,-28.3740661909761,5.90525993095185e-102,2.48382852386068e-99,222.099436392335
"DNASE1L3",-2.94060494949495,6.813,-28.3546070326107,7.19194505745723e-102,2.93049286263077e-99,221.902912156354
"CDKN3",2.42593777777778,5.00139775280899,28.2513129850817,2.04906127379425e-101,8.09627574212219e-99,220.859055695985
